OrderID,OrderDate,Region,Category,Product,Quantity,UnitPrice,Revenue,Profit,CustomerAge,CustomerGender
ORD00001,2025-07-12,North,Electronics,Smartphone,1,26207.75,26207.75,2738.43,55,Female
ORD00002,2025-10-27,West,Electronics,Laptop,1,50530.65,50530.65,5218.1,32,Female
ORD00003,2024-08-08,East,Furniture,Chair,1,4732.93,4732.93,1009.97,24,Male
ORD00004,2025-04-15,North,Clothing,T-Shirt,2,874.62,1749.24,452.51,42,Male
ORD00005,2024-10-23,North,Furniture,Chair,6,4569.62,27417.72,4301.12,32,Male
ORD00006,2025-11-17,East,Clothing,T-Shirt,5,891.61,4458.05,1431.28,62,Male
ORD00007,2025-07-24,South,Electronics,Headphones,4,2798.04,11192.16,1320.07,61,Female
ORD00008,2025-08-03,East,Electronics,Laptop,4,58539.83,234159.32,37583.64,31,Female
ORD00009,2025-08-21,West,Clothing,T-Shirt,8,835.72,6685.76,2392.13,55,Female
ORD00010,2024-04-22,South,Furniture,Sofa,4,38481.28,153925.12,34483.44,58,Male
ORD00011,2025-07-20,North,Clothing,T-Shirt,2,879.26,1758.52,528.05,61,Male
ORD00012,2024-09-26,South,Furniture,Chair,6,4150.4,24902.4,5430.18,50,Male
ORD00013,2025-06-27,North,Furniture,Chair,4,4187.56,16750.24,3867.75,56,Female
ORD00014,2024-09-02,North,Clothing,Jeans,1,1660.27,1660.27,682.96,33,Male
ORD00015,2025-11-06,West,Electronics,Smartphone,8,26580.12,212640.96,37807.23,53,Male
ORD00016,2025-12-31,East,Furniture,Chair,7,4917.93,34425.51,9063.88,43,Female
ORD00017,2024-08-23,South,Clothing,Jeans,8,1663.56,13308.48,4893.02,18,Male
ORD00018,2024-10-12,West,Electronics,Laptop,4,50241.4,200965.6,16708.54,31,Male
ORD00019,2025-03-17,East,Clothing,Jeans,4,1902.46,7609.84,2049.99,45,Female
ORD00020,2024-12-13,North,Clothing,Jeans,1,1862.41,1862.41,615.57,33,Male
ORD00021,2024-03-18,West,Furniture,Table,8,11136.44,89091.52,19546.16,53,Male
ORD00022,2025-05-12,West,Electronics,Laptop,1,60158.96,60158.96,10385.64,31,Female
ORD00023,2025-04-10,East,Electronics,Laptop,3,53668.7,161006.1,28744.56,45,Female
ORD00024,2024-11-17,North,Electronics,Headphones,4,2878.02,11512.08,2036.15,21,Female
ORD00025,2025-11-22,South,Electronics,Headphones,1,3276.47,3276.47,288.37,43,Male
ORD00026,2024-09-24,South,Furniture,Table,1,12286.52,12286.52,2918.67,60,Female
ORD00027,2024-03-15,North,Furniture,Table,5,11749.89,58749.45,11456.12,47,Male
ORD00028,2024-09-07,East,Electronics,Smartphone,4,25029.42,100117.68,9335.54,36,Male
ORD00029,2025-07-21,East,Clothing,Jeans,5,1840.2,9201.0,2314.65,60,Male
ORD00030,2025-09-11,South,Electronics,Headphones,5,2769.26,13846.3,1255.91,63,Female
ORD00031,2025-10-11,West,Furniture,Table,5,12012.98,60064.9,17192.01,35,Male
ORD00032,2025-07-18,West,Electronics,Laptop,6,57982.31,347893.86,49996.29,53,Male
ORD00033,2025-01-13,South,Electronics,Smartphone,2,27225.25,54450.5,8118.68,45,Male
ORD00034,2025-01-01,South,Electronics,Laptop,5,53511.17,267555.85,46369.78,61,Male
ORD00035,2024-06-07,South,Electronics,Smartphone,6,26400.58,158403.48,26677.28,28,Male
ORD00036,2025-11-16,South,Clothing,T-Shirt,1,842.28,842.28,279.93,35,Male
ORD00037,2025-04-16,East,Electronics,Smartphone,7,26860.83,188025.81,31185.83,37,Male
ORD00038,2024-10-12,East,Furniture,Table,1,12384.08,12384.08,2375.15,59,Female
ORD00039,2024-09-28,North,Furniture,Sofa,1,32307.39,32307.39,5711.47,24,Female
ORD00040,2024-07-13,East,Furniture,Sofa,6,34554.76,207328.56,34695.79,20,Female
ORD00041,2024-11-17,North,Electronics,Laptop,4,53506.44,214025.76,18619.68,64,Female
ORD00042,2025-11-11,West,Furniture,Chair,7,4343.56,30404.92,7089.27,61,Male
ORD00043,2025-08-16,East,Furniture,Chair,7,4543.14,31801.98,6138.96,47,Female
ORD00044,2025-11-05,North,Clothing,Jeans,4,1804.02,7216.08,2866.17,36,Female
ORD00045,2024-09-07,West,Electronics,Smartphone,4,25863.98,103455.92,10600.51,57,Male
ORD00046,2025-02-13,South,Clothing,Jeans,7,1939.01,13573.07,4435.62,27,Male
ORD00047,2025-07-24,South,Electronics,Smartphone,7,23594.21,165159.47,26493.39,25,Female
ORD00048,2025-03-29,West,Electronics,Headphones,8,3100.55,24804.4,4434.76,53,Female
ORD00049,2025-06-17,West,Electronics,Headphones,8,2970.04,23760.32,3687.07,58,Male
ORD00050,2025-07-07,North,Furniture,Chair,8,4119.74,32957.92,6286.96,26,Male
ORD00051,2025-07-09,West,Furniture,Table,7,12465.48,87258.36,13929.43,44,Male
ORD00052,2025-08-12,West,Furniture,Table,7,11734.74,82143.18,23978.36,48,Male
ORD00053,2025-07-13,South,Furniture,Sofa,5,36774.33,183871.65,53877.07,49,Male
ORD00054,2024-06-18,West,Furniture,Chair,7,4487.08,31409.56,7862.79,26,Male
ORD00055,2024-09-23,West,Clothing,T-Shirt,1,825.11,825.11,236.27,38,Male
ORD00056,2025-03-07,East,Clothing,Jeans,6,1741.5,10449.0,4600.08,23,Female
ORD00057,2025-10-29,North,Electronics,Laptop,1,60498.99,60498.99,6957.14,19,Male
ORD00058,2024-08-11,West,Furniture,Table,1,12291.21,12291.21,2716.78,62,Female
ORD00059,2024-06-16,East,Furniture,Sofa,3,35741.25,107223.75,27637.31,24,Male
ORD00060,2025-10-04,South,Furniture,Chair,7,4406.99,30848.93,4979.0,24,Female
ORD00061,2024-12-15,North,Electronics,Smartphone,1,24236.02,24236.02,2977.1,44,Female
ORD00062,2025-03-21,South,Electronics,Smartphone,7,27303.94,191127.58,27437.99,64,Female
ORD00063,2024-03-29,East,Clothing,Jeans,8,1776.81,14214.48,5974.95,46,Male
ORD00064,2024-12-29,East,Clothing,Jeans,7,1741.1,12187.7,4235.35,39,Female
ORD00065,2025-07-22,South,Furniture,Chair,1,4514.96,4514.96,840.7,62,Female
ORD00066,2024-11-09,East,Clothing,Jeans,8,1905.46,15243.68,5920.0,48,Female
ORD00067,2024-07-16,East,Clothing,T-Shirt,6,873.33,5239.98,1551.6,25,Male
ORD00068,2025-09-03,East,Furniture,Table,4,12572.65,50290.6,11991.19,24,Male
ORD00069,2024-02-16,North,Furniture,Chair,4,4374.79,17499.16,4483.33,53,Female
ORD00070,2024-12-14,South,Electronics,Headphones,8,2761.55,22092.4,1794.49,21,Female
ORD00071,2024-02-24,South,Clothing,Jeans,2,1915.96,3831.92,1440.38,27,Female
ORD00072,2024-08-19,West,Electronics,Smartphone,4,23092.26,92369.04,14450.61,46,Female
ORD00073,2024-07-31,South,Furniture,Chair,7,4324.84,30273.88,7309.47,34,Male
ORD00074,2025-08-31,West,Electronics,Headphones,4,2804.29,11217.16,981.57,36,Male
ORD00075,2024-09-27,South,Furniture,Table,5,12496.69,62483.45,13627.93,45,Male
ORD00076,2024-11-10,East,Furniture,Table,3,12980.19,38940.57,6258.2,46,Male
ORD00077,2024-03-23,North,Clothing,Jeans,5,1871.9,9359.5,3264.21,45,Female
ORD00078,2024-01-22,East,Furniture,Chair,1,4132.19,4132.19,1137.98,54,Male
ORD00079,2025-03-22,West,Electronics,Headphones,8,3011.38,24091.04,2992.66,23,Female
